run_id,scenario_id,scenario_name,scenario_mode,htf_alignment_id,htf_alignment_mode,htf_alignment_value,break_even_id,break_even_mode,break_even_value,preset,tester_ini,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,break_even_triggered,break_even_trigger_rate,break_even_exits,break_even_exit_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,daily_or_dd_stopped,gate_scope,passed_2025_shallow_gate
all_first120__h1_conf_h4_notopp__be_1_1r,all_first120,session_reversal_pullback_all_symbols_first120,0,h1_conf_h4_notopp,h1_confirmed_h4_not_opposite,2,be_1_1r,break_even_at_1_1r,2,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__h1_conf_h4_notopp__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__h1_conf_h4_notopp__be_1_1r_2025.ini,527,201,0.38140417457305503,-1216.4399999999991,4555.579999999999,-5772.019999999999,0.7892522894931064,-53.099000000000004,-0.10075711574952563,0.796478279683972,1330.3899999999992,13.303899999999992,-0.9143484241463029,221,0.41935483870967744,91,0.17267552182163187,12,0.022770398481973434,113,0.2144212523719165,181,0.34345351043643263,0.7442056925996198,0.7735468690702094,False,True,False
all_first120__h1_conf_h4_notopp__be_30m_0_5r,all_first120,session_reversal_pullback_all_symbols_first120,0,h1_conf_h4_notopp,h1_confirmed_h4_not_opposite,2,be_30m_0_5r,time_30min_and_0_5r_break_even,3,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__h1_conf_h4_notopp__be_30m_0_5r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__h1_conf_h4_notopp__be_30m_0_5r_2025.ini,520,152,0.2923076923076923,-1495.0700000000008,3707.730000000001,-5202.799999999999,0.712641270085339,-66.9161,-0.1286848076923077,0.7187836727009268,1495.0700000000008,14.950700000000008,-1.0,206,0.39615384615384613,212,0.4076923076923077,98,0.18846153846153846,97,0.18653846153846154,119,0.22884615384615384,0.6862228846153842,0.7507644230769238,False,True,False
all_first120__soft__no_be,all_first120,session_reversal_pullback_all_symbols_first120,0,soft,htf_soft_alignment,3,no_be,no_break_even,0,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__soft__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__soft__no_be_2025.ini,645,256,0.39689922480620154,-1419.41,6055.910000000005,-7475.319999999996,0.8101205032025396,-63.343800000000016,-0.09820744186046514,0.8123942670843061,1516.8000000000002,15.168000000000001,-0.9357924578059071,303,0.4697674418604651,0,0.0,0,0.0,150,0.23255813953488372,192,0.29767441860465116,0.4252703875968992,0.5234778294573648,False,True,False
all_first120__soft__be_1_0r,all_first120,session_reversal_pullback_all_symbols_first120,0,soft,htf_soft_alignment,3,be_1_0r,break_even_at_1_0r,1,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__soft__be_1_0r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__soft__be_1_0r_2025.ini,648,246,0.37962962962962965,-1442.8900000000006,5818.680000000006,-7261.569999999996,0.8012977909735786,-64.5785,-0.0996581790123457,0.8035482600171262,1505.9200000000005,15.059200000000006,-0.9581451869953251,300,0.46296296296296297,137,0.21141975308641975,22,0.033950617283950615,146,0.22530864197530864,180,0.2777777777777778,0.7266654320987662,0.7707464506172839,False,True,False
all_first120__soft__be_1_1r,all_first120,session_reversal_pullback_all_symbols_first120,0,soft,htf_soft_alignment,3,be_1_1r,break_even_at_1_1r,2,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__soft__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__soft__be_1_1r_2025.ini,643,248,0.3856920684292379,-1418.4100000000008,5871.360000000006,-7289.769999999996,0.8054245881557318,-64.28039999999999,-0.09996951788491444,0.805455740094359,1514.0300000000009,15.140300000000009,-0.9368440519672662,299,0.46500777604976673,111,0.17262830482115085,11,0.017107309486780714,147,0.2286158631415241,186,0.2892690513219285,0.7304227060653193,0.7745118195956454,False,True,False
all_first120__soft__be_30m_0_5r,all_first120,session_reversal_pullback_all_symbols_first120,0,soft,htf_soft_alignment,3,be_30m_0_5r,time_30min_and_0_5r_break_even,3,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__soft__be_30m_0_5r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_all_first120__soft__be_30m_0_5r_2025.ini,649,213,0.32819722650231126,-1452.0,5255.690000000005,-6707.689999999997,0.7835320356188207,-64.48740000000002,-0.09936425269645612,0.7877991259564472,1515.2900000000002,15.152900000000002,-0.9582324175570351,279,0.42989214175654855,240,0.3697996918335901,92,0.14175654853620956,135,0.20801232665639446,143,0.22033898305084745,0.6782265023112485,0.7466362095531587,False,True,False
one_first120__strict__no_be,one_first120,session_reversal_pullback_one_symbol_first120,1,strict,strict_h4_h1_alignment,0,no_be,no_break_even,0,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__strict__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__strict__no_be_2025.ini,116,46,0.39655172413793105,-174.63,1221.8500000000006,-1396.48,0.8749498739688364,-6.959799999999997,-0.05999827586206894,0.8827945545054665,400.01,4.0001,-0.43656408589785256,51,0.4396551724137931,0,0.0,0,0.0,28,0.2413793103448276,37,0.31896551724137934,0.45190862068965515,0.511906896551724,False,True,False
one_first120__strict__be_1_0r,one_first120,session_reversal_pullback_one_symbol_first120,1,strict,strict_h4_h1_alignment,0,be_1_0r,break_even_at_1_0r,1,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__strict__be_1_0r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__strict__be_1_0r_2025.ini,116,43,0.3706896551724138,-161.39,1159.5300000000004,-1320.92,0.8778200042394697,-6.3928,-0.055110344827586207,0.886024200780544,374.40999999999997,3.7440999999999995,-0.43105152105980077,48,0.41379310344827586,27,0.23275862068965517,6,0.05172413793103448,27,0.23275862068965517,35,0.3017241379310345,0.781861206896552,0.7849258620689656,False,True,False
one_first120__strict__be_1_1r,one_first120,session_reversal_pullback_one_symbol_first120,1,strict,strict_h4_h1_alignment,0,be_1_1r,break_even_at_1_1r,2,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__strict__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__strict__be_1_1r_2025.ini,116,46,0.39655172413793105,-96.05000000000005,1225.3300000000006,-1321.38,0.9273108416958032,-3.6481000000000052,-0.03144913793103453,0.9349361060826299,322.7500000000001,3.2275000000000014,-0.2975987606506585,48,0.41379310344827586,23,0.19827586206896552,3,0.02586206896551724,28,0.2413793103448276,37,0.31896551724137934,0.7911068965517244,0.7863801724137931,False,True,False
one_first120__strict__be_30m_0_5r,one_first120,session_reversal_pullback_one_symbol_first120,1,strict,strict_h4_h1_alignment,0,be_30m_0_5r,time_30min_and_0_5r_break_even,3,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__strict__be_30m_0_5r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__strict__be_30m_0_5r_2025.ini,117,38,0.3247863247863248,-163.42000000000007,984.3200000000003,-1147.7399999999998,0.857615836339241,-6.556500000000001,-0.056038461538461544,0.865242046372439,324.86000000000007,3.2486000000000006,-0.5030474666009974,42,0.358974358974359,49,0.4188034188034188,23,0.19658119658119658,23,0.19658119658119658,29,0.24786324786324787,0.7140230769230771,0.7435205128205126,False,True,False
one_first120__h4_bias_h1_rev__no_be,one_first120,session_reversal_pullback_one_symbol_first120,1,h4_bias_h1_rev,h4_bias_h1_reversal_alignment,1,no_be,no_break_even,0,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__h4_bias_h1_rev__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__h4_bias_h1_rev__no_be_2025.ini,199,77,0.3869346733668342,-515.77,1915.03,-2430.7999999999997,0.7878188250781637,-21.89060000000002,-0.11000301507537699,0.7912439289314255,715.02,7.1502,-0.721336466112836,94,0.4723618090452261,0,0.0,0,0.0,44,0.22110552763819097,61,0.3065326633165829,0.41694221105527646,0.5269452261306532,False,True,False
one_first120__h4_bias_h1_rev__be_1_0r,one_first120,session_reversal_pullback_one_symbol_first120,1,h4_bias_h1_rev,h4_bias_h1_reversal_alignment,1,be_1_0r,break_even_at_1_0r,1,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__h4_bias_h1_rev__be_1_0r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__h4_bias_h1_rev__be_1_0r_2025.ini,199,74,0.37185929648241206,-412.0400000000001,1905.1599999999999,-2317.2000000000003,0.8221819437251854,-17.427599999999998,-0.08757587939698491,0.8242099200413159,647.52,6.4752,-0.6363355572028665,89,0.4472361809045226,43,0.21608040201005024,8,0.04020100502512563,44,0.22110552763819097,58,0.2914572864321608,0.7522447236180906,0.7932482412060299,False,True,False
one_first120__h4_bias_h1_rev__be_1_1r,one_first120,session_reversal_pullback_one_symbol_first120,1,h4_bias_h1_rev,h4_bias_h1_reversal_alignment,1,be_1_1r,break_even_at_1_1r,2,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__h4_bias_h1_rev__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__h4_bias_h1_rev__be_1_1r_2025.ini,199,77,0.3869346733668342,-420.1899999999998,1932.1,-2352.2900000000004,0.8213698140960509,-17.618099999999995,-0.08853316582914571,0.8248516745269892,621.6299999999999,6.216299999999999,-0.6759487154738347,90,0.45226130653266333,34,0.1708542713567839,4,0.020100502512562814,44,0.22110552763819097,61,0.3065326633165829,0.7564170854271357,0.7970562814070351,False,True,False
one_first120__h4_bias_h1_rev__be_30m_0_5r,one_first120,session_reversal_pullback_one_symbol_first120,1,h4_bias_h1_rev,h4_bias_h1_reversal_alignment,1,be_30m_0_5r,time_30min_and_0_5r_break_even,3,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__h4_bias_h1_rev__be_30m_0_5r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__h4_bias_h1_rev__be_30m_0_5r_2025.ini,201,66,0.3283582089552239,-378.6200000000001,1727.29,-2105.9100000000003,0.820210740250058,-15.342299999999996,-0.07632985074626863,0.8279502005077738,548.7500000000001,5.487500000000002,-0.6899681093394078,80,0.39800995024875624,79,0.39303482587064675,33,0.16417910447761194,41,0.20398009950248755,47,0.23383084577114427,0.7005462686567169,0.7618915422885572,False,True,False
one_first120__h1_conf_h4_notopp__no_be,one_first120,session_reversal_pullback_one_symbol_first120,1,h1_conf_h4_notopp,h1_confirmed_h4_not_opposite,2,no_be,no_break_even,0,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__h1_conf_h4_notopp__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__h1_conf_h4_notopp__no_be_2025.ini,270,98,0.362962962962963,-652.1200000000002,2454.2500000000005,-3106.3699999999994,0.7900700817996571,-27.755399999999995,-0.10279777777777775,0.7919115447505559,654.2300000000002,6.542300000000003,-0.9967748345383122,111,0.4111111111111111,0,0.0,0,0.0,59,0.21851851851851853,100,0.37037037037037035,0.39121222222222213,0.49401,False,True,False
one_first120__h1_conf_h4_notopp__be_1_0r,one_first120,session_reversal_pullback_one_symbol_first120,1,h1_conf_h4_notopp,h1_confirmed_h4_not_opposite,2,be_1_0r,break_even_at_1_0r,1,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__h1_conf_h4_notopp__be_1_0r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__h1_conf_h4_notopp__be_1_0r_2025.ini,270,94,0.34814814814814815,-737.3600000000002,2319.6100000000006,-3056.97,0.7587938383431962,-31.232599999999998,-0.11567629629629629,0.7627783685249886,739.4700000000003,7.394700000000003,-0.997146605000879,110,0.4074074074074074,53,0.1962962962962963,5,0.018518518518518517,56,0.2074074074074074,99,0.36666666666666664,0.7227285185185188,0.7407666666666671,False,True,False
one_first120__h1_conf_h4_notopp__be_1_1r,one_first120,session_reversal_pullback_one_symbol_first120,1,h1_conf_h4_notopp,h1_confirmed_h4_not_opposite,2,be_1_1r,break_even_at_1_1r,2,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__h1_conf_h4_notopp__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__h1_conf_h4_notopp__be_1_1r_2025.ini,270,96,0.35555555555555557,-682.7700000000002,2376.8600000000006,-3059.6299999999997,0.776845566293964,-29.023300000000006,-0.10749370370370373,0.779517013319396,684.8800000000002,6.848800000000002,-0.9969191683214578,110,0.4074074074074074,46,0.17037037037037037,3,0.011111111111111112,57,0.2111111111111111,100,0.37037037037037035,0.7278581481481484,0.7407666666666671,False,True,False
one_first120__h1_conf_h4_notopp__be_30m_0_5r,one_first120,session_reversal_pullback_one_symbol_first120,1,h1_conf_h4_notopp,h1_confirmed_h4_not_opposite,2,be_30m_0_5r,time_30min_and_0_5r_break_even,3,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__h1_conf_h4_notopp__be_30m_0_5r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__h1_conf_h4_notopp__be_30m_0_5r_2025.ini,271,73,0.2693726937269373,-857.3500000000008,1880.8700000000003,-2738.2199999999993,0.6868951362564004,-36.644299999999994,-0.13521881918819187,0.6912435174223881,857.3500000000008,8.573500000000008,-1.0,101,0.3726937269372694,105,0.3874538745387454,52,0.1918819188191882,47,0.17343173431734318,71,0.26199261992619927,0.668708487084871,0.7148317343173436,False,True,False
one_first120__soft__no_be,one_first120,session_reversal_pullback_one_symbol_first120,1,soft,htf_soft_alignment,3,no_be,no_break_even,0,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__soft__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__soft__no_be_2025.ini,519,214,0.4123314065510597,-925.6000000000001,5100.680000000001,-6026.280000000001,0.8464060747260335,-39.258800000000015,-0.07564315992292873,0.8460849655778065,1231.45,12.3145,-0.7516342523041943,221,0.4258188824662813,0,0.0,0,0.0,106,0.20423892100192678,192,0.3699421965317919,0.4158173410404622,0.491460500963391,False,True,False
one_first120__soft__be_1_0r,one_first120,session_reversal_pullback_one_symbol_first120,1,soft,htf_soft_alignment,3,be_1_0r,break_even_at_1_0r,1,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__soft__be_1_0r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__soft__be_1_0r_2025.ini,520,204,0.3923076923076923,-996.3400000000005,4919.910000000002,-5916.25,0.8315926473695333,-42.80940000000001,-0.08232576923076926,0.829104669168589,1321.1600000000005,13.211600000000006,-0.7541403009476522,218,0.41923076923076924,113,0.2173076923076923,17,0.032692307692307694,103,0.19807692307692307,182,0.35,0.7194121153846159,0.7726615384615381,False,True,False
one_first120__soft__be_1_1r,one_first120,session_reversal_pullback_one_symbol_first120,1,soft,htf_soft_alignment,3,be_1_1r,break_even_at_1_1r,2,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__soft__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__soft__be_1_1r_2025.ini,520,207,0.39807692307692305,-1056.3400000000004,4910.820000000001,-5967.16,0.8229744132887338,-44.815599999999996,-0.08618384615384615,0.8233687694625774,1351.9900000000002,13.519900000000002,-0.7813223470587801,220,0.4230769230769231,88,0.16923076923076924,9,0.01730769230769231,103,0.19807692307692307,188,0.36153846153846153,0.7253903846153851,0.7762290384615382,False,True,False
one_first120__soft__be_30m_0_5r,one_first120,session_reversal_pullback_one_symbol_first120,1,soft,htf_soft_alignment,3,be_30m_0_5r,time_30min_and_0_5r_break_even,3,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__soft__be_30m_0_5r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__soft__be_30m_0_5r_2025.ini,509,166,0.32612966601178783,-1393.3900000000006,3949.670000000002,-5343.0599999999995,0.7392149816771667,-61.28990000000004,-0.12041237721021618,0.7352795722656853,1506.7900000000006,15.067900000000007,-0.92474067388289,204,0.40078585461689586,194,0.381139489194499,79,0.15520628683693516,89,0.17485265225933203,137,0.2691552062868369,0.6551868369351673,0.7569375245579563,False,True,False
clean_first120__strict__no_be,clean_first120,session_reversal_pullback_clean_target_path_first120,3,strict,strict_h4_h1_alignment,0,no_be,no_break_even,0,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__strict__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__strict__no_be_2025.ini,23,9,0.391304347826087,2.020000000000004,260.81,-258.79,1.0078055566289268,0.033800000000000247,0.0014695652173913152,1.0030929155762158,106.86999999999999,1.0686999999999998,0.018901469074576627,9,0.391304347826087,0,0.0,0,0.0,4,0.17391304347826086,10,0.43478260869565216,0.47660869565217395,0.4751391304347826,False,True,False
clean_first120__strict__be_1_0r,clean_first120,session_reversal_pullback_clean_target_path_first120,3,strict,strict_h4_h1_alignment,0,be_1_0r,break_even_at_1_0r,1,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__strict__be_1_0r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__strict__be_1_0r_2025.ini,23,8,0.34782608695652173,-2.3899999999999944,225.54,-227.93,0.9895143245733339,-0.23339999999999964,-0.010147826086956507,0.9759237482205856,76.00999999999999,0.7600999999999999,-0.031443231153795485,8,0.34782608695652173,7,0.30434782608695654,2,0.08695652173913043,3,0.13043478260869565,10,0.43478260869565216,0.7820347826086957,0.8107086956521741,False,True,False
