time,event,symbol,direction,entry_price,sl,tp,result_R,profit,regime,session,scan_interval,entry_selection_mode,higher_tf,higher_swing_low_1,higher_swing_high_1,higher_swing_low_2,higher_swing_high_2,higher_structure_state,higher_trend_age_bars,higher_ema_slope,higher_atr,mid_tf,impulse_start_price,impulse_end_price,pullback_extreme_price,pullback_depth_pct,pullback_depth_atr,pullback_bars,pullback_broke_origin,pullback_structure_low_or_high,distance_from_pullback_extreme_to_entry_atr,distance_from_pullback_extreme_to_entry_pct_of_impulse,lower_tf,minor_reversal_level,reclaim_or_breakdown_price,bars_since_reclaim_or_breakdown,entry_distance_from_reclaim_atr,entry_distance_from_reclaim_points,lower_reversal_quality,lower_reversal_quality_score,sl_atr,risk_r,rr,spread_atr,structure_stage_fail_reason,execution_block_reason,v2_filter_pass,v2_filter_fail_reason,v3_filter_pass,v3_filter_fail_reason,v3_momentum_exhaustion_score,v3_momentum_exhausted,v3_recent_move_atr,v3_consecutive_directional_bars,v3_close_to_recent_extreme_atr,wave_audit_label,wave_audit_reason,strategy_name
2025.02.04 23:57:59,execution_block_candidate,GBPUSD,LONG,1.24830,1.24716,1.25001,,,REGIME_TREND_UP,server_16_23,300,all_score_passing,PERIOD_H1,1.23951,1.24922,1.23782,1.24360,HH_HL,9,0.00061,0.00193,PERIOD_M15,1.23951,1.24922,1.24738,18.95,2.98,10,false,1.24738,3.43,9.47,PERIOD_M5,1.24811,1.24816,1,0.52,14.0,acceptable,100.00,4.24,0.00114,1.50,0.8191,,spread_guard,true,,true,,0.00,false,1.04,1,0.37,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V2_AuditFiltered
2025.02.05 10:49:59,final_entry_candidate,USDJPY,SHORT,153.027,153.357,152.532,,,REGIME_TREND_DOWN,server_08_15,300,all_score_passing,PERIOD_H1,153.082,153.559,154.165,154.455,LL_LH,5,-0.234,0.273,PERIOD_M15,153.559,153.082,153.338,53.67,1.57,7,false,153.338,2.74,65.20,PERIOD_M5,153.186,153.009,1,0.16,18.0,early,100.00,2.91,0.330,1.50,0.1674,,,true,,true,,90.00,true,2.98,3,0.21,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V2_AuditFiltered
2025.02.05 10:49:59,order_attempt,USDJPY,SHORT,153.027,153.357,152.532,,,REGIME_TREND_DOWN,server_08_15,300,all_score_passing,PERIOD_H1,153.082,153.559,154.165,154.455,LL_LH,5,-0.234,0.273,PERIOD_M15,153.559,153.082,153.338,53.67,1.57,7,false,153.338,2.74,65.20,PERIOD_M5,153.186,153.009,1,0.16,18.0,early,100.00,2.91,0.330,1.50,0.1674,,,true,,true,,90.00,true,2.98,3,0.21,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V2_AuditFiltered
2025.02.05 10:49:59,order_sent,USDJPY,SHORT,153.027,153.357,152.532,,,REGIME_TREND_DOWN,server_08_15,300,all_score_passing,PERIOD_H1,153.082,153.559,154.165,154.455,LL_LH,5,-0.234,0.273,PERIOD_M15,153.559,153.082,153.338,53.67,1.57,7,false,153.338,2.74,65.20,PERIOD_M5,153.186,153.009,1,0.16,18.0,early,100.00,2.91,0.330,1.50,0.1674,,,true,,true,,90.00,true,2.98,3,0.21,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V2_AuditFiltered
2025.02.05 11:00:00,final_entry_candidate,USDJPY,SHORT,153.045,153.356,152.579,,,REGIME_TREND_DOWN,server_08_15,300,all_score_passing,PERIOD_H1,153.082,153.559,154.165,154.455,LL_LH,5,-0.234,0.273,PERIOD_M15,153.559,153.082,153.338,53.67,1.57,7,false,153.338,2.73,61.43,PERIOD_M5,153.186,152.999,1,0.43,46.0,acceptable,100.00,2.90,0.311,1.50,0.1678,,,true,,true,,35.00,false,1.44,1,0.43,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V2_AuditFiltered
2025.02.05 11:00:00,order_blocked,USDJPY,SHORT,153.045,153.356,152.579,,,REGIME_TREND_DOWN,server_08_15,300,all_score_passing,PERIOD_H1,153.082,153.559,154.165,154.455,LL_LH,5,-0.234,0.273,PERIOD_M15,153.559,153.082,153.338,53.67,1.57,7,false,153.338,2.73,61.43,PERIOD_M5,153.186,152.999,1,0.43,46.0,acceptable,100.00,2.90,0.311,1.50,0.1678,,existing_position,true,,true,,35.00,false,1.44,1,0.43,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V2_AuditFiltered
2025.02.06 14:24:59,execution_block_candidate,AUDJPY,SHORT,95.449,95.581,95.251,,,REGIME_TREND_DOWN,server_08_15,300,all_score_passing,PERIOD_H1,95.265,95.681,95.669,96.004,LL_LH,9,-0.073,0.182,PERIOD_M15,95.681,95.265,95.553,69.23,3.72,3,false,95.553,2.53,25.00,PERIOD_M5,95.475,95.454,1,0.12,5.0,early,75.00,3.21,0.132,1.50,0.6817,,spread_guard,true,,true,,0.00,false,0.00,1,0.61,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V2_AuditFiltered
2025.02.06 14:29:59,execution_block_candidate,AUDJPY,SHORT,95.461,95.581,95.281,,,REGIME_TREND_DOWN,server_08_15,300,all_score_passing,PERIOD_H1,95.265,95.681,95.669,96.004,LL_LH,9,-0.073,0.182,PERIOD_M15,95.681,95.265,95.553,69.23,3.72,3,false,95.553,2.22,22.12,PERIOD_M5,95.475,95.449,1,0.29,12.0,acceptable,100.00,2.90,0.120,1.50,0.6770,,spread_guard,true,,true,,0.00,false,0.44,2,0.89,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V2_AuditFiltered
2025.02.06 18:04:59,execution_block_candidate,GBPJPY,SHORT,188.456,188.756,188.006,,,REGIME_TREND_DOWN,server_16_23,300,all_score_passing,PERIOD_H1,188.233,190.585,189.883,190.949,LL_LH,9,-0.426,0.445,PERIOD_M15,190.585,188.233,188.718,20.62,1.78,3,false,188.718,1.57,11.14,PERIOD_M5,188.350,188.290,1,0.99,166.0,late,100.00,1.80,0.300,1.50,0.2276,,spread_guard,true,,true,,70.00,true,1.68,3,1.16,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V2_AuditFiltered
2025.02.06 23:49:59,execution_block_candidate,EURJPY,SHORT,157.282,157.467,157.005,,,REGIME_TREND_DOWN,server_16_23,300,all_score_passing,PERIOD_H1,157.221,157.735,157.908,158.597,LL_LH,6,-0.294,0.310,PERIOD_M15,157.735,157.221,157.420,38.72,1.60,4,false,157.420,2.70,26.85,PERIOD_M5,157.277,157.263,1,0.37,19.0,acceptable,100.00,3.62,0.185,1.50,0.9190,,spread_guard,true,,true,,0.00,false,0.55,1,0.68,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V2_AuditFiltered
2025.02.07 02:04:59,execution_block_candidate,GBPJPY,SHORT,188.071,188.325,187.690,,,REGIME_TREND_DOWN,server_00_07,300,all_score_passing,PERIOD_H1,188.054,189.088,188.233,190.585,LL_LH,7,-0.435,0.453,PERIOD_M15,189.088,188.054,188.284,22.24,1.67,4,false,188.284,2.11,20.60,PERIOD_M5,187.991,187.958,1,1.12,113.0,late,100.00,2.51,0.254,1.50,0.4059,,spread_guard,true,,true,,70.00,true,1.51,6,1.35,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V2_AuditFiltered
2025.02.07 02:04:59,execution_block_candidate,AUDJPY,SHORT,95.002,95.162,94.762,,,REGIME_TREND_DOWN,server_00_07,300,all_score_passing,PERIOD_H1,94.955,95.491,95.180,95.681,LL_LH,7,-0.143,0.185,PERIOD_M15,95.491,94.955,95.133,33.21,2.09,4,false,95.133,2.35,24.44,PERIOD_M5,94.966,94.945,1,1.02,57.0,late,100.00,2.87,0.160,1.50,0.5205,,spread_guard,true,,true,,35.00,false,1.11,4,1.20,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V2_AuditFiltered
2025.02.10 03:34:59,execution_block_candidate,EURUSD,SHORT,1.03062,1.03195,1.02863,,,REGIME_TREND_DOWN,server_00_07,300,all_score_passing,PERIOD_H1,1.02791,1.03377,1.03045,1.04083,LL_LH,5,-0.00094,0.00281,PERIOD_M15,1.03377,1.02791,1.03177,65.87,3.89,5,false,1.03177,3.59,19.62,PERIOD_M5,1.03080,1.03054,1,0.25,8.0,early,100.00,4.15,0.00133,1.50,0.5612,,spread_guard,true,,true,,35.00,false,1.56,2,0.28,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V2_AuditFiltered
2025.02.10 03:44:59,execution_block_candidate,EURUSD,SHORT,1.03010,1.03195,1.02733,,,REGIME_TREND_DOWN,server_00_07,300,all_score_passing,PERIOD_H1,1.02791,1.03377,1.03045,1.04083,LL_LH,5,-0.00094,0.00281,PERIOD_M15,1.03377,1.02791,1.03177,65.87,3.89,5,false,1.03177,4.84,28.50,PERIOD_M5,1.03080,1.03039,1,0.84,29.0,unclear,100.00,5.36,0.00185,1.50,0.5217,,spread_guard,true,,true,,35.00,false,1.54,1,0.46,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V2_AuditFiltered
2025.02.10 23:04:59,final_entry_candidate,XAUUSD,LONG,2906.67,2902.30,2913.23,,,REGIME_TREND_UP,server_16_23,300,all_score_passing,PERIOD_H1,2896.65,2911.71,2896.40,2876.58,HH_HL,6,5.17,7.75,PERIOD_M15,2896.65,2911.71,2902.48,61.29,3.45,6,false,2902.48,3.23,27.82,PERIOD_M5,2905.49,2907.37,1,0.54,70.0,acceptable,100.00,3.37,4.37,1.50,0.1389,,,true,,true,,70.00,true,2.81,4,0.84,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V2_AuditFiltered
2025.02.10 23:04:59,order_attempt,XAUUSD,LONG,2906.67,2902.30,2913.23,,,REGIME_TREND_UP,server_16_23,300,all_score_passing,PERIOD_H1,2896.65,2911.71,2896.40,2876.58,HH_HL,6,5.17,7.75,PERIOD_M15,2896.65,2911.71,2902.48,61.29,3.45,6,false,2902.48,3.23,27.82,PERIOD_M5,2905.49,2907.37,1,0.54,70.0,acceptable,100.00,3.37,4.37,1.50,0.1389,,,true,,true,,70.00,true,2.81,4,0.84,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V2_AuditFiltered
2025.02.10 23:04:59,order_sent,XAUUSD,LONG,2906.67,2902.30,2913.23,,,REGIME_TREND_UP,server_16_23,300,all_score_passing,PERIOD_H1,2896.65,2911.71,2896.40,2876.58,HH_HL,6,5.17,7.75,PERIOD_M15,2896.65,2911.71,2902.48,61.29,3.45,6,false,2902.48,3.23,27.82,PERIOD_M5,2905.49,2907.37,1,0.54,70.0,acceptable,100.00,3.37,4.37,1.50,0.1389,,,true,,true,,70.00,true,2.81,4,0.84,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V2_AuditFiltered
2025.02.11 05:44:59,execution_block_candidate,EURJPY,SHORT,156.525,156.647,156.342,,,REGIME_TREND_DOWN,server_00_07,300,all_score_passing,PERIOD_H1,156.242,156.759,156.278,157.406,LL_LH,9,-0.071,0.197,PERIOD_M15,156.759,156.242,156.617,72.53,3.75,9,false,156.617,1.81,17.79,PERIOD_M5,156.519,156.498,1,0.53,27.0,acceptable,100.00,2.41,0.122,1.50,0.5915,,spread_guard,true,,true,,0.00,false,0.00,1,3.17,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V2_AuditFiltered
2025.02.12 09:24:59,execution_block_candidate,EURJPY,LONG,159.197,158.981,159.521,,,REGIME_TREND_UP,server_08_15,300,all_score_passing,PERIOD_H1,157.859,159.300,156.315,158.179,HH_HL,9,0.245,0.257,PERIOD_M15,157.859,159.300,159.011,20.06,2.88,5,false,159.011,3.44,12.91,PERIOD_M5,159.200,159.238,1,0.76,41.0,unclear,100.00,4.00,0.216,1.50,0.5556,,spread_guard,true,,true,,35.00,false,2.00,2,1.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V2_AuditFiltered
2025.02.12 10:09:59,execution_block_candidate,AUDJPY,LONG,96.700,96.553,96.921,,,REGIME_TREND_UP,server_08_15,300,all_score_passing,PERIOD_H1,95.836,96.864,95.811,96.096,HH_HL,10,0.144,0.193,PERIOD_M15,95.836,96.864,96.581,27.53,3.16,9,false,96.581,1.66,11.58,PERIOD_M5,96.670,96.748,1,0.67,48.0,unclear,75.00,2.05,0.147,1.50,0.3912,,spread_guard,true,,true,,70.00,true,3.70,5,1.03,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V2_AuditFiltered
2025.02.12 12:14:59,execution_block_candidate,EURJPY,LONG,159.338,159.014,159.824,,,REGIME_TREND_UP,server_08_15,300,all_score_passing,PERIOD_H1,158.956,159.300,157.859,158.179,HH_HL,6,0.247,0.291,PERIOD_M15,158.956,159.300,159.044,74.42,1.47,4,false,159.044,4.06,85.47,PERIOD_M5,159.281,159.291,1,0.65,47.0,unclear,100.00,4.48,0.324,1.50,0.4146,,spread_guard,true,,true,,90.00,true,1.22,4,0.15,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V2_AuditFiltered
2025.02.12 12:19:59,execution_block_candidate,EURJPY,LONG,159.349,159.014,159.852,,,REGIME_TREND_UP,server_08_15,300,all_score_passing,PERIOD_H1,158.956,159.300,157.859,158.179,HH_HL,6,0.247,0.291,PERIOD_M15,158.956,159.300,159.044,74.42,1.45,5,false,159.044,4.48,88.66,PERIOD_M5,159.281,159.308,1,0.60,41.0,unclear,75.00,4.92,0.335,1.50,0.4407,,spread_guard,true,,true,,55.00,false,0.98,5,0.12,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V2_AuditFiltered
2025.02.12 12:24:59,execution_block_candidate,EURJPY,LONG,159.333,159.014,159.812,,,REGIME_TREND_UP,server_08_15,300,all_score_passing,PERIOD_H1,158.956,159.300,157.859,158.179,HH_HL,6,0.247,0.291,PERIOD_M15,158.956,159.300,159.044,74.42,1.45,5,false,159.044,4.37,84.01,PERIOD_M5,159.281,159.319,1,0.21,14.0,early,100.00,4.83,0.319,1.50,0.4541,,spread_guard,true,,true,,55.00,false,1.07,6,0.12,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V2_AuditFiltered
2025.02.12 16:04:59,final_entry_candidate,EURJPY,LONG,159.483,159.246,159.839,,,REGIME_TREND_UP,server_16_23,300,all_score_passing,PERIOD_H1,158.956,159.651,157.859,159.300,HH_HL,7,0.224,0.313,PERIOD_M15,158.956,159.651,159.276,53.96,2.28,9,false,159.276,1.29,29.78,PERIOD_M5,159.497,159.548,1,0.40,65.0,acceptable,100.00,1.48,0.237,1.50,0.1867,,,true,,true,,35.00,false,1.21,2,0.46,third_wave_middle,valid_but_not_initial,DowFractal_ThirdWave_V2_AuditFiltered
2025.02.12 16:04:59,order_attempt,EURJPY,LONG,159.483,159.246,159.839,,,REGIME_TREND_UP,server_16_23,300,all_score_passing,PERIOD_H1,158.956,159.651,157.859,159.300,HH_HL,7,0.224,0.313,PERIOD_M15,158.956,159.651,159.276,53.96,2.28,9,false,159.276,1.29,29.78,PERIOD_M5,159.497,159.548,1,0.40,65.0,acceptable,100.00,1.48,0.237,1.50,0.1867,,,true,,true,,35.00,false,1.21,2,0.46,third_wave_middle,valid_but_not_initial,DowFractal_ThirdWave_V2_AuditFiltered
2025.02.12 16:04:59,order_sent,EURJPY,LONG,159.483,159.246,159.839,,,REGIME_TREND_UP,server_16_23,300,all_score_passing,PERIOD_H1,158.956,159.651,157.859,159.300,HH_HL,7,0.224,0.313,PERIOD_M15,158.956,159.651,159.276,53.96,2.28,9,false,159.276,1.29,29.78,PERIOD_M5,159.497,159.548,1,0.40,65.0,acceptable,100.00,1.48,0.237,1.50,0.1867,,,true,,true,,35.00,false,1.21,2,0.46,third_wave_middle,valid_but_not_initial,DowFractal_ThirdWave_V2_AuditFiltered
2025.02.14 08:49:59,execution_block_candidate,USDJPY,SHORT,152.509,152.744,152.157,,,REGIME_TREND_DOWN,server_08_15,300,all_score_passing,PERIOD_H1,152.440,153.000,152.693,153.146,LL_LH,5,-0.061,0.264,PERIOD_M15,153.000,152.440,152.727,51.25,2.43,5,false,152.727,2.65,38.93,PERIOD_M5,152.547,152.473,1,0.44,36.0,acceptable,100.00,2.85,0.235,1.50,0.2064,,spread_guard,true,,true,,35.00,false,1.58,2,0.51,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V2_AuditFiltered
2025.02.14 12:04:59,execution_block_candidate,USDJPY,SHORT,152.517,152.852,152.015,,,REGIME_TREND_DOWN,server_08_15,300,all_score_passing,PERIOD_H1,152.378,153.000,152.440,153.146,LL_LH,7,-0.101,0.274,PERIOD_M15,153.000,152.378,152.835,73.47,2.73,3,false,152.835,3.92,51.13,PERIOD_M5,152.547,152.506,1,0.14,11.0,early,100.00,4.12,0.335,1.50,0.2093,,spread_guard,true,,true,,70.00,true,1.27,4,0.28,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V2_AuditFiltered
2025.02.14 12:14:59,execution_block_candidate,USDJPY,SHORT,152.516,152.852,152.012,,,REGIME_TREND_DOWN,server_08_15,300,all_score_passing,PERIOD_H1,152.378,153.000,152.440,153.146,LL_LH,7,-0.101,0.274,PERIOD_M15,153.000,152.378,152.835,73.47,2.73,3,false,152.835,4.12,51.29,PERIOD_M5,152.547,152.488,1,0.36,28.0,acceptable,75.00,4.34,0.336,1.50,0.2198,,spread_guard,true,,true,,0.00,false,0.90,1,0.76,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V2_AuditFiltered
2025.02.14 20:04:59,execution_block_candidate,EURUSD,LONG,1.05077,1.04915,1.05320,,,REGIME_TREND_UP,server_16_23,300,all_score_passing,PERIOD_H1,1.04563,1.05135,1.04466,1.04870,HH_HL,6,0.00141,0.00157,PERIOD_M15,1.04563,1.05135,1.04933,35.31,2.49,4,false,1.04933,4.79,25.17,PERIOD_M5,1.05003,1.05065,1,0.40,12.0,acceptable,75.00,5.39,0.00162,1.50,0.5986,,spread_guard,true,,true,,55.00,false,1.40,1,0.10,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V2_AuditFiltered
2025.02.17 07:09:59,execution_block_candidate,EURJPY,SHORT,159.085,159.292,158.775,,,REGIME_TREND_DOWN,server_00_07,300,all_score_passing,PERIOD_H1,159.056,159.588,159.529,160.055,LL_LH,3,-0.112,0.253,PERIOD_M15,159.588,159.056,159.262,38.72,1.81,7,false,159.262,3.70,33.27,PERIOD_M5,159.134,159.119,1,0.71,34.0,unclear,100.00,4.33,0.207,1.50,0.6278,,spread_guard,true,,true,,0.00,false,1.11,2,0.67,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V2_AuditFiltered
2025.02.17 07:09:59,execution_block_candidate,GBPJPY,SHORT,190.924,191.039,190.752,,,REGIME_TREND_DOWN,server_00_07,300,all_score_passing,PERIOD_H1,190.781,191.393,191.619,191.730,LL_LH,3,-0.107,0.328,PERIOD_M15,191.393,190.781,191.001,35.95,1.53,7,false,191.001,1.24,12.58,PERIOD_M5,190.984,190.964,1,0.64,40.0,unclear,75.00,1.85,0.115,1.50,0.6122,,spread_guard,true,,true,,0.00,false,0.85,2,0.52,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V2_AuditFiltered
2025.02.17 07:15:00,execution_block_candidate,EURJPY,SHORT,159.058,159.277,158.730,,,REGIME_TREND_DOWN,server_00_07,300,all_score_passing,PERIOD_H1,159.056,159.588,159.529,160.055,LL_LH,3,-0.112,0.253,PERIOD_M15,159.588,159.056,159.242,34.96,1.58,3,false,159.242,3.47,34.59,PERIOD_M5,159.134,159.059,1,0.02,1.0,early,100.00,4.13,0.219,1.50,0.6595,,spread_guard,true,,true,,90.00,true,2.45,4,0.24,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V2_AuditFiltered
2025.02.17 07:15:00,execution_block_candidate,GBPJPY,SHORT,190.921,191.039,190.744,,,REGIME_TREND_DOWN,server_00_07,300,all_score_passing,PERIOD_H1,190.781,191.393,191.619,191.730,LL_LH,3,-0.107,0.328,PERIOD_M15,191.393,190.781,191.001,35.95,1.53,7,false,191.001,1.23,13.07,PERIOD_M5,190.984,190.924,1,0.05,3.0,early,75.00,1.81,0.118,1.50,0.5833,,spread_guard,true,,true,,70.00,true,2.13,3,0.41,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V2_AuditFiltered
