mode,category,invariant,checked_count,violation_count,status,formal_scope,evidence
REALIZABLE_EA,CAUSAL,realized RR >= requested RR (1.2),7128,0,PASS,YES,tick-rounded scenario values
REALIZABLE_EA,CAUSAL,global order violation = 0,1,0,PASS,YES,semantics=min_read_through_msc;quote_freshness_separate=true;order_violations=0;max_pending=289;pending_at_summary=0
REALIZABLE_EA,CAUSAL,duplicate event = 0,19,0,PASS,YES,duplicate key is symbol + detector + detection_time_msc
REALIZABLE_EA,CAUSAL,market cluster integrity,19,0,PASS,YES,recomputed_market_clusters=15
REALIZABLE_EA,RECONCILIATION,CSV and summary reconciliation,8023,0,PASS,YES,mismatches=none
REALIZABLE_EA,RECONCILIATION,net R = gross R - commission R exactly once,7128,0,PASS,YES,commission_source=STEP14R_TESTER_DEAL_FIELDS_OBSERVED_ZERO_LIVE_UNVALIDATED
REALIZABLE_EA,BROKER_CONSTRAINT,broker StopsLevel distance is respected,7128,0,PASS,YES,independent risk-distance comparison; symbol StopsLevel is preserved separately
REALIZABLE_EA,BROKER_CONSTRAINT,FreezeLevel diagnostic is clear for valid scenarios,7128,0,PASS,YES,freeze is a modification diagnostic and is not treated as StopsLevel
REALIZABLE_EA,DATA_INTEGRITY,run integrity status is VALIDATION_OK,1,0,PASS,YES,validation=VALIDATED;current_state=COMPLETE;ever_failure=false;event_pool_exhaustions=0;pending_capacity_hits=0;dropped_ticks=0;cursor_stalls=0;current_stale_symbols=3;ever_stale_symbols=6;stale_instances=2881985;max_quote_stale_ms=6452;incomplete_frontier=false;incomplete_frontier_instances=1;read_failures=1;quiet_ranges=3;copy_pages=8184492;final_drains=6;root_cause=;affected_symbols=NONE;stale_symbols=EURUSD|GBPUSD|USDJPY|AUDUSD|USDCAD|USDCHF
REALIZABLE_EA,DATA_INTEGRITY,event_pool_exhaustions = 0,1,0,PASS,YES,validation=VALIDATED;current_state=COMPLETE;ever_failure=false;event_pool_exhaustions=0;pending_capacity_hits=0;dropped_ticks=0;cursor_stalls=0;current_stale_symbols=3;ever_stale_symbols=6;stale_instances=2881985;max_quote_stale_ms=6452;incomplete_frontier=false;incomplete_frontier_instances=1;read_failures=1;quiet_ranges=3;copy_pages=8184492;final_drains=6;root_cause=;affected_symbols=NONE;stale_symbols=EURUSD|GBPUSD|USDJPY|AUDUSD|USDCAD|USDCHF
REALIZABLE_EA,DATA_INTEGRITY,pending_capacity_hits = 0,1,0,PASS,YES,validation=VALIDATED;current_state=COMPLETE;ever_failure=false;event_pool_exhaustions=0;pending_capacity_hits=0;dropped_ticks=0;cursor_stalls=0;current_stale_symbols=3;ever_stale_symbols=6;stale_instances=2881985;max_quote_stale_ms=6452;incomplete_frontier=false;incomplete_frontier_instances=1;read_failures=1;quiet_ranges=3;copy_pages=8184492;final_drains=6;root_cause=;affected_symbols=NONE;stale_symbols=EURUSD|GBPUSD|USDJPY|AUDUSD|USDCAD|USDCHF
REALIZABLE_EA,DATA_INTEGRITY,dropped_ticks = 0,1,0,PASS,YES,validation=VALIDATED;current_state=COMPLETE;ever_failure=false;event_pool_exhaustions=0;pending_capacity_hits=0;dropped_ticks=0;cursor_stalls=0;current_stale_symbols=3;ever_stale_symbols=6;stale_instances=2881985;max_quote_stale_ms=6452;incomplete_frontier=false;incomplete_frontier_instances=1;read_failures=1;quiet_ranges=3;copy_pages=8184492;final_drains=6;root_cause=;affected_symbols=NONE;stale_symbols=EURUSD|GBPUSD|USDJPY|AUDUSD|USDCAD|USDCHF
REALIZABLE_EA,DATA_INTEGRITY,cursor_stalls = 0,1,0,PASS,YES,validation=VALIDATED;current_state=COMPLETE;ever_failure=false;event_pool_exhaustions=0;pending_capacity_hits=0;dropped_ticks=0;cursor_stalls=0;current_stale_symbols=3;ever_stale_symbols=6;stale_instances=2881985;max_quote_stale_ms=6452;incomplete_frontier=false;incomplete_frontier_instances=1;read_failures=1;quiet_ranges=3;copy_pages=8184492;final_drains=6;root_cause=;affected_symbols=NONE;stale_symbols=EURUSD|GBPUSD|USDJPY|AUDUSD|USDCAD|USDCHF
REALIZABLE_EA,DATA_INTEGRITY,global read-through frontier complete (quote staleness is diagnostic),1,0,PASS,YES,validation=VALIDATED;current_state=COMPLETE;ever_failure=false;event_pool_exhaustions=0;pending_capacity_hits=0;dropped_ticks=0;cursor_stalls=0;current_stale_symbols=3;ever_stale_symbols=6;stale_instances=2881985;max_quote_stale_ms=6452;incomplete_frontier=false;incomplete_frontier_instances=1;read_failures=1;quiet_ranges=3;copy_pages=8184492;final_drains=6;root_cause=;affected_symbols=NONE;stale_symbols=EURUSD|GBPUSD|USDJPY|AUDUSD|USDCAD|USDCHF
REALIZABLE_EA,RUN_IDENTITY,run identity and writer metadata are consistent,4,0,PASS,YES,run_id=tickshock_step14r3_realizable_202503_20260825;fingerprints=1
REALIZABLE_EA,ORDER_SAFETY,research EA order rows = 0,1,0,PASS,YES,trades.csv rows=0
