"dependency_id","path","classification","required_for","source_or_evidence","compile_or_run_role","sha256","owning_step","owning_commit","status","note"
"TSDEP-018","mql/Include/TickShock/TickShockEngine.mqh","production_include","current_research_and_harness_compile","source","direct or transitive MQL include","0D1F4202E7B019AF559C0FAE84EC650B72CBCA454425AC0CF85D92DF28674C3E","04","ba66f67aba53d447660aa157f4613c46dcf80742","PRESENT_TRACKED","copy with relative directory structure intact"
"TSDEP-019","mql/Include/TickShock/TickShockExecutionModel.mqh","production_include","current_research_and_harness_compile","source","direct or transitive MQL include","75D995882B45AB98F466860A578AD46275B6552BED88F2E9F79FD0623B8CBC2E","04","ba66f67aba53d447660aa157f4613c46dcf80742","PRESENT_TRACKED","copy with relative directory structure intact"
"TSDEP-020","mql/Include/TickShock/TickShockMt5Adapter.mqh","production_include","current_research_and_harness_compile","source","direct or transitive MQL include","B75302E8E78043EEC10027EA1F90B04A35E753B53C364C9028B99D8065BB9753","04","ba66f67aba53d447660aa157f4613c46dcf80742","PRESENT_TRACKED","copy with relative directory structure intact"
"TSDEP-021","mql/Include/TickShock/TickShockOrderLifecycle.mqh","production_include","current_research_and_harness_compile","source","direct or transitive MQL include","756E2C8974AAABAA7672AAEA14C9D147DA4BA5252AFAF2C67427D06F075B63E1","06","1d3948916da587cd20e61036a14980fedd0cfd5d","PRESENT_TRACKED","copy with relative directory structure intact"
"TSDEP-022","mql/Include/TickShock/TickShockScenarioEngine.mqh","production_include","current_research_and_harness_compile","source","direct or transitive MQL include","4860D99EBE4BEDBCCFA15F2771AD689045722747D025732F6D9C7D9B69A18090","04","ba66f67aba53d447660aa157f4613c46dcf80742","PRESENT_TRACKED","copy with relative directory structure intact"
"TSDEP-023","mql/Include/TickShock/TickShockStateMachine.mqh","production_include","current_research_and_harness_compile","source","direct or transitive MQL include","9F50599E7100A35DC2D715310B10A21E17E63675AE6D247B1DE7D96AEB1DE3BE","04","ba66f67aba53d447660aa157f4613c46dcf80742","PRESENT_TRACKED","copy with relative directory structure intact"
"TSDEP-024","mql/Include/TickShock/TickShockTypes.mqh","production_include","current_research_and_harness_compile","source","direct or transitive MQL include","3E73FD88A18A746FB3E0FA1122B09145D635C60BFE90BD93E5B0D135EC074539","04","ba66f67aba53d447660aa157f4613c46dcf80742","PRESENT_TRACKED","copy with relative directory structure intact"
"TSDEP-025","mql/Include/TickShockResearchExecution.mqh","production_include","current_research_and_harness_compile","source","direct or transitive MQL include","F2C33E8012E18E3392BB68B855C1CE4D1BFC92160ACD46C7C8399B3E143811E9","01","affd45edae9aee57148546fc086c9f7f6926b56e","PRESENT_TRACKED","copy with relative directory structure intact"
"TSDEP-026","mql/Include/TickShockStateMachine.mqh","production_include","current_research_and_harness_compile","source","direct or transitive MQL include","B12575B3894CF33AAE7103C914B8F470DF41AB3F60FB81B428044E5EF45AF685","01","affd45edae9aee57148546fc086c9f7f6926b56e","PRESENT_TRACKED","copy with relative directory structure intact"
"TSDEP-027","tests/tick_shock/expected/TS-BASE-001_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","937AD6ED3713ADC66683C12CA8D6B766BBC8A188090F1337ED0C161BA56F347A","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-028","tests/tick_shock/expected/TS-BASE-002_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","3FC2F28900C40497B73025080A3BF8C69CA20B240C175ADFA68ECE5DD58124B8","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-029","tests/tick_shock/expected/TS-BROKER-001_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","AF6D796B7E77B50773C7E421E9C1E4916C57BD29D21DE22A0DDD67309A522251","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-030","tests/tick_shock/expected/TS-BURST-001_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","8D5CAC9AA2ED062EA96FD7DB79E16DF99D8B58F632C6F73A512E355799CEEB67","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-031","tests/tick_shock/expected/TS-BURST-002_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","F796BFF61AFC4822819A3FD541DF9C6195466B566A42295D5F4607B134D2FE36","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-032","tests/tick_shock/expected/TS-CLUSTER-001_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","D2155F712D7B8D3BBB80D85DFE77A260FA6126E1411701A11430CBFBE8A83D8F","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-033","tests/tick_shock/expected/TS-CLUSTER-002_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","1A9C5FF11CC5043B66B1108E4284A138EE543C863F00E2DB1AA3A448C5E599C1","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-034","tests/tick_shock/expected/TS-COMM-001_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","1E8FF94BC74293BBA16A945824CCAC774A4AF99513B2F1263AB539EA140A8211","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-035","tests/tick_shock/expected/TS-CSV-001_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","DB008473BB37CA1FB8868DB09EDAADB282D8AF6036EEF3501E4DB116EA3469FC","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-036","tests/tick_shock/expected/TS-CSV-002_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","B6DF7BB86E385FDF47D16282C9D42431C84B5021EE1C7DEAD803BF713BA4D483","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-037","tests/tick_shock/expected/TS-DETECT-001_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","CB895E13158E5CF0BAE8E1FCF8C849560AF47F8CF94C5AF6F1E5436BAF6C1D48","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-038","tests/tick_shock/expected/TS-DUP-001_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","87B75BFCD17510879CDE1435056D1F86CA70E772843710C0A5DD119904F987CD","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-039","tests/tick_shock/expected/TS-EFF-001_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","B54986C3A3B0A6A066F9D4C820557BC509C4B656EF341D7B8F3CF5211E32DBD8","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-040","tests/tick_shock/expected/TS-EFF-002_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","D6FE3A9EAB79491508EE764835C7B244E9AFA5E71B730441204B2D995E379EED","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-041","tests/tick_shock/expected/TS-EXEC-LONG-001_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","8055BBF88C790F3FD89472B8FBF070FEBF30262E760995334BFF5887DC3C5B10","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-042","tests/tick_shock/expected/TS-EXEC-SHORT-001_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","AE0B32CC8BCB87D14F4A1277FBC5B926DDCB86FA891FEECF5F44945BBA48A0D6","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-043","tests/tick_shock/expected/TS-GATE-001_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","FBAD867782531232EE6F809546E9184154D7C57C0DE04CFAF8B3DC3689C55203","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-044","tests/tick_shock/expected/TS-INT-001_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","D30CB03E83B3831CCAFC08E550BB1F551E9B6C66F649A996CEAAEC5F1C9C0C88","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-045","tests/tick_shock/expected/TS-INVALID-001_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","5AFE8B866137D61755D8062FC9092BC8E9947048519D324C7504F977A6FE0822","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-046","tests/tick_shock/expected/TS-MERGE-001_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","4E32BB9357FDE4B2C30482CC58A992B31BB7C01B307D3D1D2AD15C2CE08885E2","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-047","tests/tick_shock/expected/TS-MERGE-002_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","EE7F9334CDE054EA158BA514E987D577511024FA550E4AD350093AAD7BA35CA6","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-048","tests/tick_shock/expected/TS-MOVE-001_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","6C579B0A5D057FD7FCD5257AD09AD528D66DFB42424E9F85A98D6312CD109E15","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-049","tests/tick_shock/expected/TS-MULTI-001_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","3E1AA8EB9CF140DB18ED7532745CF06C64D58088E425ADC7C9A46D6E265B9594","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-050","tests/tick_shock/expected/TS-NOREACCEL-001_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","B6480B8C61B2813DB0CFE352B34FCC1C6AB53E03D214F294336F90E75090BF65","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-051","tests/tick_shock/expected/TS-ORDER-001_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","7AAACE66AAF7906AE50C0B97DCD5894B9B5C3664296AA67D9D314B87A9241832","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-052","tests/tick_shock/expected/TS-ORDER-002_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","4AC9C97D67B461E3A0834ED147B049C3445F11D9AD50A2799A42082B4345879E","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-053","tests/tick_shock/expected/TS-ORDER-003_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","A05DB74FB2686BB3E30A91FCC012455C78EB86DE2879827F73F1311EBB666754","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-054","tests/tick_shock/expected/TS-PARTIAL-001_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","606529C467DB240540B10B63CC2A7179DD24EF852E5F5D4BFDDC134C8CD89FAC","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-055","tests/tick_shock/expected/TS-PB-001_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","62A114048731817AE1794AA3973CF3487CADA0D4363102A5D0E04AC391917CDA","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-056","tests/tick_shock/expected/TS-PB-002_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","A3ED0FABA26950276BC54A642181E9C94886C79CF3BB6485D8ADD9CA02C875F1","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-057","tests/tick_shock/expected/TS-PB-003_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","CDA3701F546C7A29FE30E0B66946818EE8BE50CC18F14BF18A2DD922CDC91951","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-058","tests/tick_shock/expected/TS-PCT-001_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","D185837CA97BFA2C38369F39B86210504FE5756714CD7AAA264611C0A7DDB059","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-059","tests/tick_shock/expected/TS-POLICY-001_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","622C344FD873898221DB2782D9876420EF2393FF97462CD9905AA2A579613B69","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-060","tests/tick_shock/expected/TS-POSITION-001_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","BE42551BA75A1FA26DC87CD286BFA592F846BE340AF526CDF2C923DBE751886C","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-061","tests/tick_shock/expected/TS-PROV-001_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","365D8E9CDC24CA7040BE2331224BEF5EA9D35805A1E1E803495287765E25D421","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-062","tests/tick_shock/expected/TS-RESTART-001_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","57EE6FE492AC69B6DDCBB2C8394D7306D3B7846A9FEF5AF9710AD2F278B60297","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-063","tests/tick_shock/expected/TS-RESTART-002_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","1188DF7BC02885B0739057291D420BC27CF97C5E9127B9E6BBAD6EB909900B71","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-064","tests/tick_shock/expected/TS-RET-001_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","F6BC947CE2E55FDAA10396160688EDC9007AADC0B2A961E12A32BBE3A642A3F1","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-065","tests/tick_shock/expected/TS-RET-002_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","1DEB54BE31606E3F789E955C3BB7B014CDBB20B11824260BBAEB60135E205B9E","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-066","tests/tick_shock/expected/TS-REV-001_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","730D28212A515215D37D68BAC3DE0B9481DF598AB07BFFE2E34A9B029B9A63A7","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-067","tests/tick_shock/expected/TS-RR-001_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","C7AF9437264D951920B5DD8975A9B21EE4210C924310493EAEB6E1929104FD08","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-068","tests/tick_shock/expected/TS-SAMEMSC-001_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","5D4298B9CEEB00E5B9E5936E6C914CA1C344CC99847F26743768951D5ABBC18A","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-069","tests/tick_shock/expected/TS-SERVER-SL-LONG-001_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","EFE699CFFC83B45A2F39F905F773B6DA622AD6B706A56CC3121C0C93FFEFBB1F","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-070","tests/tick_shock/expected/TS-SERVER-SL-SHORT-001_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","EFE699CFFC83B45A2F39F905F773B6DA622AD6B706A56CC3121C0C93FFEFBB1F","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-071","tests/tick_shock/expected/TS-SERVER-TP-LONG-001_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","558CE74BE027FD7E84DDC3CD74CB3E3D2DF0CE4F2D9F642A2D2E84294E9A8FAF","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-072","tests/tick_shock/expected/TS-SERVER-TP-SHORT-001_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","558CE74BE027FD7E84DDC3CD74CB3E3D2DF0CE4F2D9F642A2D2E84294E9A8FAF","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-073","tests/tick_shock/expected/TS-SL-001_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","9EE3D7572B60F476FBB412D15E92A4524A1F1BF2560C9174B9CA830B1A80EF25","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-074","tests/tick_shock/expected/TS-SL-002_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","F4E03273283454EF9E9098551BA5EC2BCC456882396E32006B9ED6AD5CFC3EDA","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-075","tests/tick_shock/expected/TS-SPREAD-001_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","B77BCDA2092891EA2CB7D26DF46ECB18D941FE67C6D734BDEA3474135BC63EB9","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-076","tests/tick_shock/expected/TS-STATE-LONG-001_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","402600FD54F00F7D69C9A239507B249D6DF2340A0B213509DFFDFC079517FEF6","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-077","tests/tick_shock/expected/TS-STATE-SHORT-001_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","0AE9C31529DC4B4F9B87161D99823231841B65BEC864144C483AFAE7D3089C4A","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-078","tests/tick_shock/expected/TS-TIME-001_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","AD32BF6CFCDC566A30CA94FFBA6C010D2494B30E935EA05F1CC32555FD12F65F","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-079","tests/tick_shock/expected/TS-TIME-002_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","22B0C1A9C4CEA1EF9D1AB1DA9485E9DEC349641D4615914079F542CCE42D1393","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-080","tests/tick_shock/expected/TS-TIME-003_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","53DA755A613EF6E6E1D835B0B5AB9146FA9140131E0E041A426779B433F49EDE","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-081","tests/tick_shock/expected/TS-TIME-004_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","63F62597AA0A0FD544A1F5F969506E77C5D356CE3E561EBC2E255132F4A280A4","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-082","tests/tick_shock/expected/TS-TIME-005_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","8361FF19DB0A32EFCD11E05320180E3F6DDB58EDC55CDFE6C25CDF4D6BA3C2B1","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-083","tests/tick_shock/expected/TS-TIME-006_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","3F51CBC3EA80B9C1E0234D95CD3EB42A47793B47F451B408C6F5ED96EAF2B04B","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-084","tests/tick_shock/expected/TS-TIME-CLOSE-LONG-001_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","0437462C9E808D9F4B19AF99B75CECD3781FD92EE322A593F761C9306D3AF5D6","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-085","tests/tick_shock/expected/TS-TIME-CLOSE-SHORT-001_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","0437462C9E808D9F4B19AF99B75CECD3781FD92EE322A593F761C9306D3AF5D6","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
"TSDEP-086","tests/tick_shock/expected/TS-TIMEEXIT-001_expected.csv","test_expected","step05_step06_regression","source","independent expected oracle","DB0C80D58D546D24BCFF5862C252D160AC3945BFFC23BDE1DC89A46E76F557C0","03","672c18a85838e91f63c3247cccc82243037254ff","PRESENT_TRACKED","normative; unchanged since Step 3"
